City,Latitude,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed,Country
Mossamedes,-15.1961,57.85,57.85,81,14,10.89,AO
Ashquelon,31.6693,77.38,78.69,71,4,1.68,IL
Panama City,8.9936,81.75,89.55,80,40,12.66,PA
Caraballeda,10.6112,85.86,85.86,84,75,3.44,VE
Pangai,-19.8,80.71,80.71,83,20,8.05,TO
Tecpan,14.7623,63.9,63.9,87,71,5.32,GT
Belaya Gora,68.5333,71.85,71.85,40,97,8.16,RU
Dingle,10.9995,75.83,75.83,88,100,2.08,PH
Erzin,36.9559,74.79,74.79,86,3,1.19,TR
Phuntsholing,26.8516,76.69,76.69,96,100,1.59,BT
Bosaso,11.2842,90.3,90.3,42,73,24.43,SO
Kushmurun,52.4503,62.82,62.82,85,17,6.78,KZ
Nome,64.5011,55.47,57.16,88,100,9.22,US
Coyhaique,-45.5752,42.75,42.75,52,0,4.61,CL
Ponta Delgada,37.7333,72.32,72.32,78,75,4.61,PT
Aklavik,68.2191,64.9,64.9,48,90,0.94,CA
Hashtrūd,37.4779,68.83,68.83,49,44,3.87,IR
Krasnosel'kup,65.7,45.07,45.07,73,6,19.77,RU
Mahon,39.8885,77.56,77.56,65,0,4.61,ES
Iranshahr,27.2025,88.14,88.14,58,0,0.0,IR
Drexel Heights,32.1412,96.15,99.1,35,0,11.99,US
Takoradze,4.8845,74.01,74.01,82,68,11.88,GH
Solnechnyy,50.7214,69.71,69.71,85,35,5.08,RU
Verkhnyaya Inta,65.9811,56.21,56.21,60,8,11.45,RU
Imeni Poliny Osipenko,52.4201,68.5,68.5,83,52,6.78,RU
Katsina,12.9894,77.58,77.58,66,58,5.66,NG
Meulaboh,4.1363,76.39,76.39,89,96,5.21,ID
Hanzhong,33.0728,71.92,71.92,91,21,1.03,CN
Mitchell,43.7094,89.58,89.58,40,0,17.27,US
Tailai,46.3833,74.86,74.86,83,30,4.34,CN
Port Moresby,-9.4431,76.42,76.42,100,100,3.44,PG
Rāyadrug,14.7,81.16,81.16,67,100,6.55,IN
Karratha,-20.7377,68.13,68.13,76,33,1.28,AU
Moses Lake,47.1301,100.89,105.89,11,0,9.22,US
Pringsewu,-5.3582,72.43,72.43,98,56,0.81,ID
Whitianga,-36.8333,54.0,54.0,67,4,5.91,NZ
Dwārka,22.2394,80.49,80.49,83,75,19.98,IN
Megion,61.0296,50.02,50.02,78,54,11.05,RU
Skellefteå,64.7507,60.01,60.01,100,100,3.44,SE
Arawa,-6.2132,81.19,81.19,84,23,3.87,PG
Kabompo,-13.5927,55.76,55.76,37,0,3.31,ZM
Omboué,-1.5746,72.82,72.82,90,16,9.28,GA
Sydney Mines,46.2367,75.33,77.65,62,75,18.41,CA
Úštěk,50.5847,69.04,71.37,54,95,1.16,CZ
Pacific Grove,36.6177,64.44,80.55,81,0,10.36,US
Puri,19.8,84.72,84.72,79,100,13.73,IN
Ontario,34.0633,91.56,100.67,35,75,14.97,US
Opelousas,30.5335,88.57,89.91,62,0,6.91,US
Berekum,7.4534,69.76,69.76,97,100,7.83,GH
Lumding,25.7535,73.36,73.36,99,100,1.28,IN
Sena Madureira,-9.0656,87.17,87.17,45,37,3.85,BR
Kotido,2.9806,66.29,66.29,85,80,4.41,UG
San Jose,37.3394,77.22,86.11,64,75,6.91,US
Korla,41.7597,74.57,74.57,49,51,12.06,CN
Inuvik,68.3499,67.01,67.21,46,40,5.75,CA
Kirakira,-10.4544,82.49,82.49,78,25,12.12,SB
Sumbe,-11.2061,66.29,66.29,88,1,6.26,AO
Dahra,36.2546,85.39,85.39,74,0,5.59,DZ
Loo,59.4364,57.24,57.25,77,0,0.0,EE
Aksarka,66.5606,47.75,47.75,86,31,4.7,RU
Omsukchan,62.5333,54.09,54.09,62,6,9.71,RU
Kahului,20.8947,86.4,87.82,52,20,24.16,US
Fare,-16.7,78.51,78.51,71,27,25.32,PF
Nelson Bay,-32.7167,57.29,58.08,77,100,10.0,AU
Wattegama,6.7989,75.06,75.06,89,100,6.89,LK
Ammon,43.4696,95.43,95.83,16,0,4.61,US
Mitsamiouli,-11.3847,75.79,75.79,72,3,5.91,KM
Virginia Beach,36.8529,80.04,83.01,87,100,4.61,US
Broken Hill,-31.95,42.1,42.1,79,0,6.87,AU
Tezu,27.9167,74.89,74.89,97,100,1.97,IN
Naco,31.3347,86.92,89.35,45,75,3.44,MX
Porto Walter,-8.2686,86.25,86.25,53,77,3.33,BR
Kumla,59.1277,59.31,63.68,88,20,2.3,SE
Buin,-33.7333,62.6,64.72,76,92,2.01,CL
Tavda,58.0425,54.54,54.54,94,83,5.5,RU
Del Rio,29.3627,98.82,99.0,26,0,17.27,US
Kharagauli,42.0214,69.21,69.21,83,65,4.34,GE
Snezhnogorsk,69.1933,49.78,49.78,90,64,8.03,RU
Bud,39.447,81.09,83.91,61,0,3.2,US
Dawei,14.0833,77.52,77.52,92,96,3.83,MM
Avanigadda,16.0215,82.65,82.65,81,95,3.8,IN
Maniitsoq,65.4167,41.54,41.54,92,71,6.2,GL
Fort Frances,48.5999,71.06,71.82,60,100,5.99,CA
Peleduy,59.6289,61.18,61.18,97,99,2.62,RU
Cukai,4.25,75.0,75.15,89,94,3.98,MY
Carupano,10.6678,80.96,80.96,79,100,13.49,VE
Singkang,2.1006,75.61,75.61,93,94,1.57,MY
Tautira,-17.7333,77.05,77.05,70,53,24.45,PF
Staryy Nadym,65.6118,45.81,45.81,85,54,9.48,RU
Wad Rāwah,15.1603,82.99,82.99,60,87,16.28,SD
Bansang,13.4333,72.88,72.88,95,100,7.18,GM
Port Hedland,-20.3167,64.45,64.45,68,31,6.91,AU
Opuwo,-18.0607,52.12,52.12,45,2,7.25,NA
El Obraje,14.0,86.18,86.18,52,32,9.84,HN
Garissa,-0.4536,73.09,73.09,79,12,17.81,KE
Rawson,-43.3002,48.58,48.58,65,97,6.76,AR
Avera,33.194,94.23,94.55,23,4,10.78,US
Harper,4.375,75.4,75.4,80,100,13.02,LR
Asău,46.4333,63.52,63.52,94,100,6.11,RO
Ifanadiana,-21.3,58.01,58.01,99,13,2.84,MG
Bereda,43.2686,65.14,65.57,100,39,7.85,ES
Reitz,-27.8014,42.94,42.94,91,57,14.25,ZA
